SpeciesA,SpeciesB,AColonies,BColonies,Afraction,Bfraction,DilutionRate,Startingfraction,Experiment
Ea,Pci,48,22,0.685714286,0.314285714,10000,0.1,2
Ea,Pci,33,0,1,0,100000,0.9,2
Ea,Pci,22,1,0.956521739,0.043478261,100000,0.5,2
Ea,Pci,19,0,1,0,100000,0.1,2
Ea,Pci,16,0,1,0,300000,0.9,2
Ea,Pci,21,0,1,0,300000,0.5,2
Ea,Pci,13,0,1,0,300000,0.1,2
Ea,Pci,5,4,0.555555556,0.444444444,10,0.9,3
Ea,Pci,11,19,0.366666667,0.633333333,10,0.6,3
Ea,Pci,11,13,0.458333333,0.541666667,10,0.4,3
Ea,Pci,10,14,0.416666667,0.583333333,10,0.1,3
Ea,Pci,8,8,0.5,0.5,100,0.9,3
Ea,Pci,14,14,0.5,0.5,100,0.6,3
Ea,Pci,13,11,0.541666667,0.458333333,100,0.4,3
Ea,Pci,15,15,0.5,0.5,100,0.1,3
Ea,Pci,6,6,0.5,0.5,1000,0.9,3
Ea,Pci,4,7,0.363636364,0.636363636,1000,0.6,3
Ea,Pci,4,5,0.444444444,0.555555556,1000,0.4,3
Ea,Pci,6,3,0.666666667,0.333333333,1000,0.1,3
Ea,Pci,11,3,0.785714286,0.214285714,10000,0.9,3
Ea,Pci,20,11,0.64516129,0.35483871,10000,0.6,3
Ea,Pci,8,14,0.363636364,0.636363636,10000,0.4,3
Ea,Pci,15,14,0.517241379,0.482758621,10000,0.1,3
Ea,Pci,8,4,0.666666667,0.333333333,100000,0.9,3
Ea,Pci,10,0,1,0,100000,0.6,3
Ea,Pci,14,0,1,0,100000,0.4,3
Ea,Pci,14,0,1,0,100000,0.1,3
Ea,Pci,3,0,1,0,1000000,0.9,3
Ea,Pci,3,0,1,0,1000000,0.6,3
Ea,Pci,6,0,1,0,1000000,0.4,3
Ea,Pci,3,0,1,0,1000000,0.1,3
Pci,Pa,0,162,0,1,10,0.9,1
Pci,Pa,0,82,0,1,10,0.1,1
Pci,Pa,0,75,0,1,100,0.9,1
Pci,Pa,1,100,0.009901,0.9901,100,0.1,1
Pci,Pa,0,32,0,1,1000,0.9,1
Pci,Pa,0,30,0,1,1000,0.1,1
Pci,Pa,15,16,0.48387,0.51613,10000,0.9,1
Pci,Pa,27,29,0.48214,0.51786,10000,0.1,1
Pci,Pa,23,24,0.48936,0.51064,100000,0.9,1
Pci,Pa,24,6,0.8,0.2,100000,0.1,1
Pci,Pa,4,0,1,0,1000000,0.9,1
Pci,Pa,6,0,1,0,1000000,0.1,1
Pci,Pa,0,56,0,1,10,0.9,2
Pci,Pa,0,60,0,1,10,0.75,2
Pci,Pa,0,50,0,1,10,0.5,2
Pci,Pa,0,55,0,1,10,0.25,2
Pci,Pa,0,44,0,1,10,0.1,2
Pci,Pa,0,60,0,1,100,0.9,2
Pci,Pa,0,32,0,1,100,0.75,2
Pci,Pa,0,34,0,1,100,0.5,2
Pci,Pa,0,36,0,1,100,0.25,2
Pci,Pa,0,43,0,1,100,0.1,2
Pci,Pa,0,53,0,1,1000,0.9,2
Pci,Pa,1,45,0.02173913,0.97826087,1000,0.75,2
Pci,Pa,0,52,0,1,1000,0.5,2
Pci,Pa,0,35,0,1,1000,0.25,2
Pci,Pa,0,48,0,1,1000,0.1,2
Pci,Pa,7,24,0.225806452,0.774193548,10000,0.9,2
Pci,Pa,4,39,0.093023256,0.906976744,10000,0.75,2
Pci,Pa,5,28,0.151515152,0.848484848,10000,0.5,2
Pci,Pa,6,34,0.15,0.85,10000,0.25,2
Pci,Pa,22,45,0.328358209,0.671641791,10000,0.1,2
Pci,Pa,22,0,1,0,100000,0.9,2
Pci,Pa,65,5,0.928571429,0.071428571,100000,0.75,2
Pci,Pa,43,1,0.977272727,0.022727273,100000,0.5,2
Pci,Pa,94,5,0.949494949,0.050505051,100000,0.25,2
Pci,Pa,15,16,0.483870968,0.516129032,100000,0.1,2
Pci,Pa,43,0,1,0,300000,0.9,2
Pci,Pa,39,0,1,0,300000,0.75,2
Pci,Pa,41,1,0.976190476,0.023809524,300000,0.5,2
Pci,Pa,20,0,1,0,300000,0.25,2
Pci,Pa,36,0,1,0,300000,0.1,2
Pci,Pa,0,30,0,1,10,0.335,3
Pci,Pa,0,30,0,1,100,0.335,3
Pci,Pa,0,40,0,1,1000,0.335,3
Pci,Pa,3,33,0.083333333,0.916666667,10000,0.335,3
Pci,Pa,8,8,0.5,0.5,100000,0.335,3
Pci,Pa,26,0,1,0,1000000,0.335,3
Pp,Pci,24,34,0.41379,0.58621,10,0.9,1
Pp,Pci,12,117,0.093023,0.90698,10,0.1,1
Pp,Pci,16,36,0.30769,0.69231,100,0.9,1
Pp,Pci,14,53,0.20896,0.79104,100,0.1,1
Pp,Pci,60,29,0.67416,0.32584,1000,0.9,1
Pp,Pci,56,19,0.74667,0.25333,1000,0.1,1
Pp,Pci,50,22,0.69444,0.30556,10000,0.9,1
Pp,Pci,31,19,0.62,0.38,10000,0.1,1
Pp,Pci,62,0,1,0,100000,0.9,1
Pp,Pci,39,2,0.95122,0.04878,100000,0.1,1
Pp,Pci,27,0,1,0,1000000,0.9,1
Pp,Pci,15,0,1,0,1000000,0.1,1
Pp,Pci,21,42,0.333333333,0.666666667,10,0.9,2
Pp,Pci,14,50,0.21875,0.78125,10,0.5,2
Pp,Pci,9,19,0.321428571,0.678571429,10,0.1,2
Pp,Pci,16,15,0.516129032,0.483870968,100,0.9,2
Pp,Pci,24,8,0.75,0.25,100,0.5,2
Pp,Pci,14,23,0.378378378,0.621621622,100,0.1,2
Pp,Pci,10,15,0.4,0.6,1000,0.9,2
Pp,Pci,21,16,0.567567568,0.432432432,1000,0.5,2
Pp,Pci,7,17,0.291666667,0.708333333,1000,0.1,2
Pp,Pci,44,8,0.846153846,0.153846154,10000,0.9,2
Pp,Pci,21,12,0.636363636,0.363636364,10000,0.5,2
Pp,Pci,46,8,0.851851852,0.148148148,10000,0.1,2
Pp,Pci,16,0,1,0,100000,0.9,2
Pp,Pci,18,0,1,0,100000,0.5,2
Pp,Pci,17,0,1,0,100000,0.1,2
Pp,Pci,10,0,1,0,300000,0.9,2
Pp,Pci,34,0,1,0,300000,0.5,2
Pp,Pci,12,0,1,0,300000,0.1,2
Pp,Pci,5,17,0.227272727,0.772727273,10,0.9,3
Pp,Pci,4,28,0.125,0.875,10,0.6,3
Pp,Pci,2,19,0.095238095,0.904761905,10,0.4,3
Pp,Pci,1,28,0.034482759,0.965517241,10,0.1,3
Pp,Pci,6,13,0.315789474,0.684210526,100,0.9,3
Pp,Pci,2,3,0.4,0.6,100,0.6,3
Pp,Pci,23,11,0.676470588,0.323529412,100,0.4,3
Pp,Pci,4,4,0.5,0.5,100,0.1,3
Pp,Pci,22,6,0.785714286,0.214285714,1000,0.9,3
Pp,Pci,19,42,0.31147541,0.68852459,1000,0.6,3
Pp,Pci,29,13,0.69047619,0.30952381,1000,0.4,3
Pp,Pci,28,24,0.538461538,0.461538462,1000,0.1,3
Pp,Pci,29,32,0.475409836,0.524590164,10000,0.9,3
Pp,Pci,28,14,0.666666667,0.333333333,10000,0.6,3
Pp,Pci,26,3,0.896551724,0.103448276,10000,0.4,3
Pp,Pci,35,8,0.813953488,0.186046512,10000,0.1,3
Pp,Pci,13,0,1,0,100000,0.9,3
Pp,Pci,19,4,0.826086957,0.173913043,100000,0.6,3
Pp,Pci,23,1,0.958333333,0.041666667,100000,0.4,3
Pp,Pci,8,4,0.666666667,0.333333333,100000,0.1,3
Pp,Pci,4,0,1,0,1000000,0.9,3
Pp,Pci,6,0,1,0,1000000,0.6,3
Pp,Pci,5,0,1,0,1000000,0.4,3
Pp,Pci,14,0,1,0,1000000,0.1,3
Pp,Pci,5,66,0.070422535,0.929577465,10,0.732,4
Pp,Pci,19,19,0.5,0.5,100,0.732,4
Pp,Pci,38,7,0.844444444,0.155555556,1000,0.732,4
Pp,Pci,12,58,0.171428571,0.828571429,10000,0.732,4
Pp,Pci,20,0,1,0,100000,0.732,4
Pp,Pci,17,0,1,0,1000000,0.732,4
Ea,Pv,1,47,0.020833333,0.979166667,10,0.9,1
Ea,Pv,51,66,0.435897436,0.564102564,100,0.9,1
Ea,Pv,56,11,0.835820896,0.164179104,1000,0.9,1
Ea,Pv,54,0,1,0,10000,0.9,1
Ea,Pv,28,0,1,0,100000,0.9,1
Ea,Pv,7,0,1,0,1000000,0.9,1
Ea,Pv,0,86,0,1,10,0.1,1
Ea,Pv,32,66,0.326530612,0.673469388,100,0.1,1
Ea,Pv,48,30,0.615384615,0.384615385,1000,0.1,1
Ea,Pv,39,0,1,0,10000,0.1,1
Ea,Pv,14,0,1,0,100000,0.1,1
Ea,Pv,10,0,1,0,1000000,0.1,1
Ea,Pv,0,58,0,1,10,0.1,2
Ea,Pv,6,75,0.074074,0.92593,10,0.9,2
Ea,Pv,39,68,0.36449,0.63551,100,0.1,2
Ea,Pv,46,61,0.42991,0.57009,100,0.9,2
Ea,Pv,32,7,0.82051,0.17949,1000,0.1,2
Ea,Pv,43,2,0.95556,0.044444,1000,0.9,2
Ea,Pv,41,0,1,0,10000,0.1,2
Ea,Pv,26,0,1,0,10000,0.9,2
Ea,Pv,23,0,1,0,100000,0.1,2
Ea,Pv,15,0,1,0,100000,0.9,2
Ea,Pv,1,0,1,0,1000000,0.1,2
Ea,Pv,3,0,1,0,1000000,0.9,2
Ea,Pv,0,42,0,1,10,0.9,3
Ea,Pv,1,32,0.03030303,0.96969697,10,0.75,3
Ea,Pv,0,33,0,1,10,0.5,3
Ea,Pv,0,45,0,1,10,0.25,3
Ea,Pv,2,31,0.060606061,0.939393939,10,0.1,3
Ea,Pv,11,18,0.379310345,0.620689655,100,0.9,3
Ea,Pv,11,22,0.333333333,0.666666667,100,0.75,3
Ea,Pv,17,18,0.485714286,0.514285714,100,0.5,3
Ea,Pv,5,23,0.178571429,0.821428571,100,0.25,3
Ea,Pv,2,21,0.086956522,0.913043478,100,0.1,3
Ea,Pv,98,4,0.960784314,0.039215686,1000,0.9,3
Ea,Pv,57,3,0.95,0.05,1000,0.75,3
Ea,Pv,91,14,0.866666667,0.133333333,1000,0.5,3
Ea,Pv,47,31,0.602564103,0.397435897,1000,0.25,3
Ea,Pv,55,16,0.774647887,0.225352113,1000,0.1,3
Ea,Pv,37,0,1,0,10000,0.9,3
Ea,Pv,32,0,1,0,10000,0.75,3
Ea,Pv,33,0,1,0,10000,0.5,3
Ea,Pv,25,0,1,0,10000,0.25,3
Ea,Pv,41,0,1,0,10000,0.1,3
Ea,Pv,22,0,1,0,100000,0.9,3
Ea,Pv,31,0,1,0,100000,0.75,3
Ea,Pv,19,0,1,0,100000,0.5,3
Ea,Pv,25,0,1,0,100000,0.25,3
Ea,Pv,25,0,1,0,100000,0.1,3
Ea,Pv,19,0,1,0,300000,0.9,3
Ea,Pv,25,0,1,0,300000,0.75,3
Ea,Pv,18,0,1,0,300000,0.5,3
Ea,Pv,10,0,1,0,300000,0.25,3
Ea,Pv,19,0,1,0,300000,0.1,3
Ea,Pv,0,25,0,1,10,0.9,4
Ea,Pv,1,17,0.055555556,0.944444444,10,0.1,4
Ea,Pv,2,22,0.083333333,0.916666667,100,0.9,4
Ea,Pv,2,13,0.133333333,0.866666667,100,0.1,4
Ea,Pv,24,5,0.827586207,0.172413793,1000,0.9,4
Ea,Pv,14,18,0.4375,0.5625,1000,0.1,4
Ea,Pv,12,0,1,0,10000,0.9,4
Ea,Pv,21,0,1,0,10000,0.1,4
Ea,Pv,16,0,1,0,100000,0.9,4
Ea,Pv,15,0,1,0,100000,0.1,4
Ea,Pv,8,0,1,0,1000000,0.9,4
Ea,Pv,1,0,1,0,1000000,0.1,4
Pci,Pv,0,81,0,1,10,0.1,1
Pci,Pv,0,79,0,1,10,0.9,1
Pci,Pv,0,59,0,1,100,0.1,1
Pci,Pv,0,66,0,1,100,0.9,1
Pci,Pv,0,39,0,1,1000,0.1,1
Pci,Pv,77,1,0.98718,0.012821,1000,0.9,1
Pci,Pv,0,30,0,1,10000,0.1,1
Pci,Pv,40,0,1,0,10000,0.9,1
Pci,Pv,21,0,1,0,100000,0.1,1
Pci,Pv,8,0,1,0,100000,0.9,1
Pci,Pv,1,0,1,0,1000000,0.1,1
Pci,Pv,4,0,1,0,1000000,0.9,1
Pci,Pv,0,29,0,1,10,0.94,2
Pci,Pv,0,37,0,1,10,0.84,2
Pci,Pv,0,32,0,1,10,0.68,2
Pci,Pv,0,46,0,1,10,0.42,2
Pci,Pv,89,18,0.831775701,0.168224299,100,0.94,2
Pci,Pv,0,20,0,1,100,0.84,2
Pci,Pv,0,20,0,1,100,0.68,2
Pci,Pv,0,24,0,1,100,0.42,2
Pci,Pv,55,0,1,0,1000,0.94,2
Pci,Pv,0,19,0,1,1000,0.84,2
Pci,Pv,0,17,0,1,1000,0.68,2
Pci,Pv,0,19,0,1,1000,0.42,2
Pci,Pv,38,0,1,0,10000,0.94,2
Pci,Pv,16,0,1,0,10000,0.84,2
Pci,Pv,42,0,1,0,10000,0.68,2
Pci,Pv,10,0,1,0,10000,0.42,2
Pci,Pv,7,0,1,0,100000,0.94,2
Pci,Pv,13,0,1,0,100000,0.84,2
Pci,Pv,9,0,1,0,100000,0.68,2
Pci,Pv,9,0,1,0,100000,0.42,2
Pci,Pv,3,0,1,0,1000000,0.84,2
Pci,Pv,0,30,0,1,10,0.9,3
Pci,Pv,32,6,0.842105263,0.157894737,100,0.9,3
Pci,Pv,119,1,0.991666667,0.008333333,1000,0.9,3
Pci,Pv,55,0,1,0,10000,0.9,3
Pci,Pv,28,0,1,0,100000,0.9,3
Pci,Pv,22,0,1,0,1000000,0.9,3
Pci,Pv,0,56,0,1,10,0.1,3
Pci,Pv,0,52,0,1,100,0.1,3
Pci,Pv,0,34,0,1,1000,0.1,3
Pci,Pv,106,3,0.972477064,0.027522936,10000,0.1,3
Pci,Pv,20,0,1,0,100000,0.1,3
Pci,Pv,34,0,1,0,1000000,0.1,3